10.12.2021 17:33:51 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <8358.748047, 409.465698, 7603.517090>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <9688.809570, 211.641449, 6517.846191>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <9698.683594, 209.834656, 6530.682129>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <9681.501953, 212.363800, 6517.177734>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <9686.345703, 209.897491, 6535.000977>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <9703.113281, 210.273071, 6516.083008>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <7282.841309, 263.381073, 6951.500488>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <7279.441895, 262.770813, 6947.577148>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <7281.331055, 262.761963, 6953.587402>
19.12.2021 12:16:46 [Dayz-Dog] 'DayzDog.json' found, loading existing config
19.12.2021 12:17:03 [Dayz-Dog] Spawned Wild Dog at <1482.359131, 464.988007, 14389.343750>
19.12.2021 12:17:03 [Dayz-Dog] Spawned Wild Dog at <1498.912842, 463.930847, 14399.860352>
19.12.2021 12:17:03 [Dayz-Dog] Spawned Wild Dog at <1470.388306, 467.580780, 14366.454102>
19.12.2021 12:17:03 [Dayz-Dog] Spawned Wild Dog at <1478.291748, 465.739319, 14381.953125>
19.12.2021 12:17:03 [Dayz-Dog] Spawned Wild Dog at <5050.123535, 310.499512, 5653.365234>
19.12.2021 12:17:03 [Dayz-Dog] Spawned Wild Dog at <14869.051758, 70.897934, 14534.460938>
19.12.2021 12:17:03 [Dayz-Dog] Spawned Wild Dog at <14850.584961, 75.243164, 14532.423828>
19.12.2021 12:17:03 [Dayz-Dog] Spawned Wild Dog at <14864.500977, 76.813690, 14512.366211>
19.12.2021 12:17:03 [Dayz-Dog] Spawned Wild Dog at <14879.462891, 65.809441, 14554.436523>
19.12.2021 12:17:03 [Dayz-Dog] Spawned Wild Dog at <14867.819336, 70.801598, 14535.635742>
19.12.2021 17:43:59 [Dayz-Dog] 'DayzDog.json' found, loading existing config
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <13007.767578, 6.310530, 7964.436523>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <13668.295898, 43.336693, 3024.609131>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <13690.163086, 39.854977, 3048.053955>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <13672.612305, 43.775356, 3009.150635>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <13664.726563, 42.559353, 3039.212891>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <8241.942383, 429.567383, 7548.424805>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <8231.601563, 427.105042, 7555.733398>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <8226.274414, 425.544647, 7569.664551>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <4620.695313, 320.990021, 8289.707031>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <4610.550781, 320.248322, 8273.070313>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <4631.431152, 321.398682, 8308.428711>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <6505.884766, 321.264069, 6097.221680>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <6509.414063, 318.905121, 6079.696289>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <6488.195313, 320.938843, 6117.922363>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <7449.950195, 215.282837, 5119.571777>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <7458.159180, 214.867767, 5102.499023>
19.12.2021 17:44:16 [Dayz-Dog] Spawned Wild Dog at <7434.495117, 216.108490, 5122.725098>
